Hero,Tier,Win Rate,WR Change,Pick Rate,PR Change,Ban Rate,Matches,Rank,Season
Adam Warlock,B,52.24%,-1.90%,8.06%,-5.95%,0.00%,"2,259",Silver,1
Mantis,A,52.21%,-2.59%,19.41%,-21.83%,0.00%,"5,443",Silver,1
Peni Parker,A,52.11%,-1.95%,27.31%,-5.70%,0.00%,"7,659",Silver,1
Thor,A,52.02%,-0.79%,20.93%,+2.25%,0.00%,"5,869",Silver,1
Hela,B,51.80%,-2.52%,10.28%,-14.76%,0.00%,"2,884",Silver,1
Winter Soldier,A,51.65%,+1.21%,19.25%,+6.79%,0.00%,"5,398",Silver,1
Wolverine,B,51.46%,-0.37%,6.35%,+0.94%,0.00%,"1,780",Silver,1
Psylocke,B,51.21%,-1.97%,13.51%,-4.49%,0.00%,"3,790",Silver,1
Hulk,B,51.07%,-2.18%,12.14%,-5.00%,0.00%,"3,405",Silver,1
Doctor Strange,A,49.95%,-0.92%,31.58%,-5.83%,0.00%,"8,856",Silver,1
Namor,B,49.53%,-1.80%,13.93%,-0.32%,0.00%,"3,907",Silver,1
Star Lord,B,49.14%,-0.87%,12.71%,-2.05%,0.00%,"3,563",Silver,1
Black Widow,D,49.06%,+4.73%,2.09%,+0.62%,0.00%,587,Silver,1
Spider Man,B,48.92%,-1.69%,10.89%,+1.20%,0.00%,"3,054",Silver,1
Groot,A,48.90%,-0.71%,23.76%,+3.28%,0.00%,"6,662",Silver,1
Iron Man,B,48.35%,-3.74%,12.22%,-5.55%,0.00%,"3,427",Silver,1
Captain America,C,48.35%,-1.83%,8.95%,+0.85%,0.00%,"2,509",Silver,1
Luna Snow,A,48.29%,-2.19%,28.30%,-12.14%,0.00%,"7,936",Silver,1
Cloak & Dagger,S,48.27%,+0.56%,60.56%,+9.60%,0.00%,"16,984",Silver,1
Squirrel Girl,B,47.83%,+2.32%,16.20%,+8.22%,0.00%,"4,543",Silver,1
Invisible Woman,A,47.74%,N/A,30.11%,N/A,0.00%,"8,444",Silver,1
Magneto,B,47.73%,-1.15%,19.93%,+3.60%,0.00%,"5,590",Silver,1
Moon Knight,A,47.71%,+0.97%,31.55%,+5.75%,0.00%,"8,847",Silver,1
Scarlet Witch,B,47.55%,+1.13%,16.02%,+0.99%,0.00%,"4,494",Silver,1
Hawkeye,D,47.51%,-4.27%,3.93%,-10.07%,0.00%,"1,103",Silver,1
Venom,B,47.00%,+0.10%,17.75%,-2.42%,0.00%,"4,979",Silver,1
The Punisher,B,46.68%,-1.01%,23.43%,+3.26%,0.00%,"6,572",Silver,1
Jeff The Land Shark,D,42.91%,-0.87%,14.81%,-5.19%,0.00%,"4,153",Silver,1
Storm,A,57.49%,+6.85%,13.59%,+11.51%,0.00%,"7,655",Gold,1
Magik,A,55.61%,+0.35%,9.18%,-1.59%,0.00%,"5,170",Gold,1
Rocket Raccoon,S,54.12%,-0.06%,39.98%,+19.20%,0.00%,"22,517",Gold,1
Black Panther,B,53.12%,-0.24%,5.58%,-3.64%,0.00%,"3,144",Gold,1
Thor,A,52.65%,+0.39%,21.82%,+1.96%,0.00%,"12,290",Gold,1
Peni Parker,A,52.03%,-1.99%,25.23%,-7.18%,0.00%,"14,210",Gold,1
Loki,B,51.83%,-2.43%,11.51%,-5.27%,0.00%,"6,483",Gold,1
Mantis,A,51.74%,-3.04%,16.00%,-24.43%,0.00%,"9,011",Gold,1
Adam Warlock,B,51.46%,-3.07%,6.65%,-6.67%,0.00%,"3,743",Gold,1
Hulk,B,51.33%,-1.55%,12.65%,-5.02%,0.00%,"7,122",Gold,1
Mister Fantastic,B,51.26%,N/A,5.78%,N/A,0.00%,"3,256",Gold,1
Iron Fist,B,51.21%,+0.63%,4.26%,-1.13%,0.00%,"2,398",Gold,1
Captain America,B,51.13%,+1.38%,7.46%,+0.69%,0.00%,"4,201",Gold,1
Psylocke,B,51.05%,-0.83%,13.52%,-6.12%,0.00%,"7,612",Gold,1
Winter Soldier,A,50.69%,+1.76%,20.17%,+7.05%,0.00%,"11,361",Gold,1
Hela,B,50.47%,-4.68%,9.55%,-17.45%,0.00%,"5,381",Gold,1
Wolverine,B,50.45%,-0.40%,7.84%,+1.32%,0.00%,"4,414",Gold,1
Doctor Strange,A,50.16%,-1.65%,38.35%,-4.57%,0.00%,"21,601",Gold,1
Iron Man,B,49.86%,-2.31%,9.79%,-6.18%,0.00%,"5,515",Gold,1
Star Lord,B,49.59%,+0.44%,10.62%,-2.79%,0.00%,"5,981",Gold,1
Spider Man,B,49.39%,-0.98%,10.09%,-0.39%,0.00%,"5,685",Gold,1
The Punisher,B,48.73%,-0.37%,22.08%,+3.80%,0.00%,"12,438",Gold,1
Scarlet Witch,B,48.60%,+2.21%,11.98%,+1.06%,0.00%,"6,749",Gold,1
Groot,A,48.57%,+0.13%,24.89%,+2.79%,0.00%,"14,020",Gold,1
Cloak & Dagger,S,48.54%,+1.60%,65.40%,+16.27%,0.00%,"36,836",Gold,1
Magneto,B,48.04%,-0.37%,22.72%,+6.23%,0.00%,"12,794",Gold,1
Squirrel Girl,B,47.56%,+0.49%,15.31%,+9.05%,0.00%,"8,621",Gold,1
Hawkeye,D,47.42%,-3.45%,3.23%,-9.83%,0.00%,"1,820",Gold,1
Invisible Woman,A,47.36%,N/A,30.17%,N/A,0.00%,"16,995",Gold,1
Moon Knight,A,47.18%,+0.25%,30.72%,+9.14%,0.00%,"17,301",Gold,1
Venom,B,47.00%,-0.20%,15.11%,-2.58%,0.00%,"8,509",Gold,1
Luna Snow,A,46.72%,-3.09%,31.04%,-14.20%,0.00%,"17,484",Gold,1
Namor,C,46.40%,-5.48%,16.18%,-1.09%,0.00%,"9,112",Gold,1
Black Widow,D,43.06%,-1.99%,1.48%,+0.34%,0.00%,836,Gold,1
Jeff The Land Shark,D,42.40%,-1.42%,10.06%,-6.23%,0.00%,"5,667",Gold,1
Storm,A,56.85%,+4.35%,16.27%,+13.97%,0.00%,"17,593",Platinum,1
Magik,A,55.19%,-0.83%,10.13%,-0.59%,0.00%,"10,953",Platinum,1
Rocket Raccoon,S,54.01%,+0.28%,40.79%,+18.45%,0.00%,"44,102",Platinum,1
Peni Parker,A,53.04%,-1.30%,18.20%,-10.26%,0.00%,"19,678",Platinum,1
Iron Fist,B,52.77%,-0.34%,3.42%,-0.85%,0.00%,"3,695",Platinum,1
Mantis,B,52.12%,-3.18%,14.22%,-26.23%,0.00%,"15,377",Platinum,1
Mister Fantastic,B,52.12%,N/A,4.55%,N/A,0.00%,"4,925",Platinum,1
Black Panther,B,52.10%,-2.78%,6.41%,-3.35%,0.00%,"6,929",Platinum,1
Thor,A,52.07%,-0.36%,20.74%,+0.88%,0.00%,"22,429",Platinum,1
Loki,B,51.71%,-2.17%,11.64%,-4.89%,0.00%,"12,587",Platinum,1
Hulk,B,51.69%,-1.70%,12.36%,-7.28%,0.00%,"13,366",Platinum,1
Wolverine,B,51.44%,+1.16%,11.05%,+3.74%,0.00%,"11,947",Platinum,1
Iron Man,B,51.17%,-3.33%,7.47%,-7.50%,0.00%,"8,075",Platinum,1
Psylocke,B,50.73%,-1.38%,13.90%,-6.62%,0.00%,"15,025",Platinum,1
Doctor Strange,S,50.65%,-1.14%,47.66%,-5.24%,0.00%,"51,539",Platinum,1
Winter Soldier,A,50.36%,+2.99%,24.38%,+10.55%,0.00%,"26,367",Platinum,1
Spider Man,B,50.33%,+0.21%,9.13%,+0.72%,0.00%,"9,867",Platinum,1
Adam Warlock,C,49.83%,-4.40%,5.22%,-6.50%,0.00%,"5,641",Platinum,1
Captain America,C,49.63%,-0.50%,5.62%,+0.36%,0.00%,"6,081",Platinum,1
Star Lord,B,49.00%,-1.37%,9.51%,-2.38%,0.00%,"10,278",Platinum,1
Groot,A,48.73%,-1.30%,23.70%,+0.44%,0.00%,"25,627",Platinum,1
The Punisher,B,48.49%,-0.03%,20.60%,+3.04%,0.00%,"22,277",Platinum,1
Cloak & Dagger,S,48.33%,+2.19%,69.07%,+23.06%,0.00%,"74,681",Platinum,1
Hela,C,47.92%,-5.45%,10.15%,-21.85%,0.00%,"10,971",Platinum,1
Magneto,A,47.88%,-0.36%,26.25%,+8.57%,0.00%,"28,385",Platinum,1
Invisible Woman,A,47.69%,N/A,31.21%,N/A,0.00%,"33,752",Platinum,1
Namor,B,47.48%,-3.33%,19.17%,-1.13%,0.00%,"20,733",Platinum,1
Squirrel Girl,C,47.29%,+0.89%,12.18%,+7.34%,0.00%,"13,171",Platinum,1
Scarlet Witch,C,47.26%,+0.42%,7.57%,+1.34%,0.00%,"8,190",Platinum,1
Venom,C,46.70%,+0.05%,11.73%,-1.84%,0.00%,"12,682",Platinum,1
Moon Knight,B,46.47%,+0.21%,27.58%,+10.78%,0.00%,"29,822",Platinum,1
Luna Snow,A,46.18%,-3.72%,37.46%,-17.24%,0.00%,"40,507",Platinum,1
Hawkeye,D,45.33%,-4.23%,3.07%,-10.45%,0.00%,"3,316",Platinum,1
Black Widow,D,43.36%,+2.90%,1.52%,+0.59%,0.00%,"1,642",Platinum,1
Jeff The Land Shark,D,43.15%,-1.85%,6.07%,-5.40%,0.00%,"6,558",Platinum,1
Magik,A,56.21%,-0.22%,13.15%,+1.02%,1.79%,"13,462",Diamond,1
Storm,S,55.56%,+3.99%,10.83%,+8.24%,43.30%,"11,083",Diamond,1
Wolverine,A,53.25%,+0.47%,8.37%,-1.30%,43.37%,"8,565",Diamond,1
Rocket Raccoon,S,53.16%,-0.48%,41.24%,+13.88%,1.32%,"42,210",Diamond,1
Iron Fist,B,53.13%,-0.94%,3.87%,+0.73%,0.27%,"3,964",Diamond,1
Hulk,A,52.95%,-0.87%,7.79%,-4.39%,44.71%,"7,971",Diamond,1
Black Panther,B,52.23%,-2.86%,8.64%,-3.33%,3.63%,"8,844",Diamond,1
Iron Man,B,52.18%,-1.82%,5.22%,-6.66%,0.40%,"5,347",Diamond,1
Peni Parker,B,51.92%,-2.45%,10.18%,-12.29%,0.52%,"10,421",Diamond,1
Mantis,B,51.33%,-2.85%,18.05%,-30.74%,0.28%,"18,473",Diamond,1
Doctor Strange,S,51.27%,-0.84%,54.38%,-7.45%,3.60%,"55,660",Diamond,1
Thor,B,51.19%,-0.29%,18.22%,-0.16%,0.15%,"18,650",Diamond,1
Adam Warlock,B,51.10%,-1.79%,4.67%,-7.96%,0.05%,"4,777",Diamond,1
Mister Fantastic,B,50.80%,N/A,4.35%,N/A,0.13%,"4,449",Diamond,1
Star Lord,B,50.79%,-0.39%,10.75%,-4.82%,0.22%,"11,006",Diamond,1
Captain America,B,50.78%,-0.11%,4.85%,+0.69%,0.10%,"4,965",Diamond,1
Psylocke,B,50.55%,-2.04%,15.50%,-10.71%,0.66%,"15,867",Diamond,1
Loki,B,50.39%,-2.69%,15.85%,-2.09%,0.43%,"16,225",Diamond,1
Winter Soldier,B,49.84%,+2.34%,31.44%,+11.34%,1.26%,"32,180",Diamond,1
Groot,B,49.54%,-0.36%,21.56%,-3.24%,0.92%,"22,069",Diamond,1
Spider Man,B,49.37%,-1.31%,8.02%,+1.05%,1.28%,"8,210",Diamond,1
The Punisher,B,48.97%,+0.02%,19.89%,-3.60%,0.58%,"20,359",Diamond,1
Hela,B,48.82%,-4.17%,11.83%,-5.27%,1.83%,"12,111",Diamond,1
Cloak & Dagger,S,48.56%,+2.65%,62.24%,+16.35%,12.20%,"63,707",Diamond,1
Magneto,B,48.09%,-1.01%,35.72%,+9.55%,1.11%,"36,564",Diamond,1
Luna Snow,A,48.05%,-2.64%,34.29%,-9.67%,24.28%,"35,102",Diamond,1
Namor,B,47.55%,-3.18%,19.43%,-4.60%,6.38%,"19,892",Diamond,1
Venom,C,47.34%,+0.51%,8.40%,-1.84%,0.13%,"8,595",Diamond,1
Invisible Woman,B,47.24%,N/A,43.19%,N/A,1.03%,"44,209",Diamond,1
Scarlet Witch,C,46.93%,-0.43%,5.04%,+1.62%,0.14%,"5,161",Diamond,1
Moon Knight,B,45.87%,+1.27%,23.34%,+8.78%,2.27%,"23,888",Diamond,1
Hawkeye,D,45.51%,-4.97%,2.96%,-4.10%,0.39%,"3,032",Diamond,1
Squirrel Girl,C,45.30%,-0.16%,10.49%,+6.23%,0.28%,"10,733",Diamond,1
Jeff The Land Shark,D,44.15%,+0.73%,4.52%,-3.53%,0.33%,"4,627",Diamond,1
Black Widow,D,41.43%,-0.09%,1.70%,+0.72%,0.37%,"1,745",Diamond,1
Magik,A,55.60%,+0.16%,16.16%,+2.38%,2.78%,"7,218",Grandmaster,1
Storm,A,55.06%,+3.12%,11.21%,+8.71%,40.40%,"5,007",Grandmaster,1
Wolverine,A,54.17%,+1.17%,7.62%,-3.87%,45.40%,"3,404",Grandmaster,1
Iron Man,B,53.74%,+1.82%,4.07%,-5.77%,0.23%,"1,816",Grandmaster,1
Hulk,A,53.39%,-0.01%,7.77%,-3.37%,43.95%,"3,469",Grandmaster,1
Iron Fist,B,53.05%,-0.72%,4.33%,+0.73%,0.53%,"1,934",Grandmaster,1
Mister Fantastic,B,52.39%,N/A,4.03%,N/A,0.14%,"1,800",Grandmaster,1
Captain America,B,52.39%,+1.42%,3.89%,+0.37%,0.20%,"1,739",Grandmaster,1
Rocket Raccoon,A,52.18%,+0.29%,32.51%,+9.04%,1.10%,"14,522",Grandmaster,1
Loki,B,51.51%,-1.14%,22.66%,+2.57%,1.01%,"10,119",Grandmaster,1
Mantis,B,51.32%,-2.32%,21.16%,-38.85%,0.17%,"9,453",Grandmaster,1
Peni Parker,B,51.22%,-1.67%,4.20%,-6.81%,0.19%,"1,878",Grandmaster,1
Black Panther,B,51.21%,-3.23%,9.09%,-5.90%,3.41%,"4,060",Grandmaster,1
Thor,B,51.14%,+0.32%,13.32%,-0.12%,0.21%,"5,948",Grandmaster,1
Doctor Strange,S,51.11%,-0.82%,57.08%,-11.27%,3.76%,"25,492",Grandmaster,1
Psylocke,B,50.93%,-0.98%,16.12%,-13.75%,0.94%,"7,200",Grandmaster,1
Groot,B,50.55%,+0.20%,17.39%,-2.14%,1.01%,"7,768",Grandmaster,1
Star Lord,B,50.05%,-2.65%,12.61%,-10.11%,0.48%,"5,634",Grandmaster,1
Winter Soldier,B,49.35%,+3.31%,33.79%,+12.87%,1.76%,"15,090",Grandmaster,1
Magneto,A,49.19%,-0.23%,47.11%,+10.26%,2.19%,"21,039",Grandmaster,1
Adam Warlock,C,49.17%,-5.43%,5.23%,-11.92%,0.05%,"2,337",Grandmaster,1
Jeff The Land Shark,C,48.99%,+2.53%,4.64%,-1.37%,0.56%,"2,072",Grandmaster,1
Venom,C,48.77%,+1.57%,6.56%,+0.15%,0.24%,"2,930",Grandmaster,1
Namor,B,48.69%,-0.89%,20.76%,-6.27%,7.23%,"9,272",Grandmaster,1
Hela,B,48.68%,-3.20%,16.40%,+0.18%,2.30%,"7,326",Grandmaster,1
Spider Man,C,48.66%,-1.73%,6.37%,+0.97%,1.29%,"2,846",Grandmaster,1
Cloak & Dagger,S,48.52%,+5.36%,60.23%,+21.07%,11.37%,"26,902",Grandmaster,1
Luna Snow,A,48.23%,-2.49%,39.15%,-5.04%,22.01%,"17,486",Grandmaster,1
Invisible Woman,A,47.74%,N/A,47.21%,N/A,1.27%,"21,088",Grandmaster,1
The Punisher,B,47.40%,-0.05%,15.08%,-4.95%,0.60%,"6,734",Grandmaster,1
Scarlet Witch,C,47.15%,-2.14%,3.18%,+1.51%,0.15%,"1,419",Grandmaster,1
Squirrel Girl,C,45.28%,+1.56%,7.43%,+4.47%,0.22%,"3,319",Grandmaster,1
Moon Knight,C,43.80%,+2.76%,16.29%,+8.27%,1.29%,"7,277",Grandmaster,1
Hawkeye,D,43.75%,-7.58%,2.94%,-4.52%,0.24%,"1,312",Grandmaster,1
Black Widow,D,42.54%,+1.15%,2.40%,+1.21%,0.41%,"1,072",Grandmaster,1
Hulk,S,100.00%,+47.16%,16.67%,+3.15%,25.00%,2,Eternity,1
Jeff The Land Shark,S,100.00%,+51.68%,8.33%,+3.85%,0.00%,1,Eternity,1
Winter Soldier,S,100.00%,+54.51%,16.67%,+0.38%,0.00%,2,Eternity,1
Loki,S,66.67%,+12.97%,25.00%,+0.32%,25.00%,3,Eternity,1
Doctor Strange,S,60.00%,+8.08%,41.67%,-32.04%,16.67%,5,Eternity,1
Luna Snow,S,55.56%,+4.90%,75.00%,+25.29%,0.00%,9,Eternity,1
Magneto,S,50.00%,+0.58%,83.33%,+34.82%,0.00%,10,Eternity,1
Namor,A,50.00%,+0.52%,33.33%,+5.88%,25.00%,4,Eternity,1
Rocket Raccoon,B,50.00%,-0.17%,16.67%,+2.45%,0.00%,2,Eternity,1
Storm,S,50.00%,+0.98%,50.00%,+47.98%,16.67%,6,Eternity,1
Cloak & Dagger,S,50.00%,+7.89%,66.67%,+34.96%,0.00%,8,Eternity,1
Moon Knight,B,50.00%,+8.37%,16.67%,+11.61%,0.00%,2,Eternity,1
Groot,B,40.00%,-12.14%,41.67%,+27.08%,16.67%,5,Eternity,1
Invisible Woman,B,40.00%,N/A,41.67%,N/A,0.00%,5,Eternity,1
Hela,D,33.33%,-18.58%,25.00%,+6.61%,33.33%,3,Eternity,1
Adam Warlock,D,0.00%,-53.34%,8.33%,-16.56%,0.00%,1,Eternity,1
Black Panther,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Iron Man,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Magik,,0.00%,N/A,0.00%,N/A,8.33%,0,Eternity,1
Mantis,D,0.00%,-52.10%,8.33%,-60.94%,0.00%,1,Eternity,1
Peni Parker,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
The Punisher,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Scarlet Witch,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Star Lord,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Thor,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Venom,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Spider Man,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Wolverine,D,0.00%,-53.24%,25.00%,+11.94%,16.67%,3,Eternity,1
Iron Fist,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Hawkeye,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Psylocke,,0.00%,N/A,0.00%,N/A,16.67%,0,Eternity,1
Squirrel Girl,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Black Widow,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Captain America,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,Eternity,1
